구조,예산_평균,예산_표준편차,예산_worst(최대),예산_best(최소),예산_흥행평균,예산_비흥행평균,유치이전금액_평균,리워드지급_평균,신청자수_평균,수령자수_평균,비용률_%,효율_배,CPA,평균이전금액,수령자당평균리워드,매력도지수_배
현행,796263402,71098563,908730256,697461026,864591658,727935145,199368471000,626586333,4489,4018,0.3994,250.38,198167,44412669,155940,1.0
A_예산최소,658637696,57279206,750776902,580264441,713724255,603551137,190012625854,517762202,4347,3876,0.3466,288.49,169910,43708554,133568,0.9531
B_효율최대,658637696,57279206,750776902,580264441,713724255,603551137,190012625854,517762202,4347,3876,0.3466,288.49,169910,43708554,133568,0.9531
C_목표예산,658637696,57279206,750776902,580264441,713724255,603551137,190012625854,517762202,4347,3876,0.3466,288.49,169910,43708554,133568,0.9531
