예산_평균,유치이전금액_평균,효율_배,매력도지수,배수,리워드벡터
291452148,144157059043,494.6,0.7231,1.5,20000|40000|40000|70000|150000|300000|500000
294397360,144321237831,490.2,0.7239,1.5,20000|30000|30000|80000|150000|290000|500000
295252730,144447651132,489.2,0.7246,1.5,20000|30000|30000|80000|150000|300000|490000
295387979,144465426569,489.1,0.7247,1.5,20000|30000|30000|80000|150000|300000|500000
295525747,144483361461,488.9,0.7248,1.5,20000|30000|30000|80000|150000|300000|510000
296164012,145604107614,491.6,0.7303,1.5,10000|20000|40000|80000|150000|300000|500000
299077573,145810901742,487.5,0.7314,1.5,20000|40000|40000|80000|140000|300000|500000
305668307,147465257767,482.4,0.7397,1.5,20000|30000|40000|80000|150000|300000|500000
311387145,148029589590,475.4,0.7426,1.5,20000|40000|40000|80000|150000|290000|500000
312242515,148156002890,474.5,0.7432,1.5,20000|40000|40000|80000|150000|300000|490000
312377764,148173778328,474.3,0.7433,1.5,20000|40000|40000|80000|150000|300000|500000
312515532,148191713220,474.2,0.7434,1.5,20000|40000|40000|80000|150000|300000|510000
313399305,148320128108,473.3,0.744,1.5,20000|40000|40000|80000|150000|310000|500000
318601346,148562148853,466.3,0.7452,1.5,20000|30000|30000|90000|150000|300000|500000
326519518,150607836986,461.3,0.7555,1.5,20000|40000|40000|80000|160000|300000|500000
335591131,152270500612,453.7,0.7639,1.5,20000|40000|40000|90000|150000|300000|500000
369500603,156945483759,424.8,0.7873,1.5,10000|20000|40000|110000|150000|300000|500000
379004898,158806633912,419.0,0.7967,1.5,20000|30000|40000|110000|150000|300000|500000
385714355,159515154474,413.6,0.8002,1.5,20000|40000|40000|110000|150000|300000|500000
417519067,161039971809,385.7,0.8076,1.5,10000|20000|30000|80000|220000|450000|750000
421015838,161910505643,384.6,0.8123,1.5,20000|50000|50000|110000|150000|300000|500000
427023361,162901121962,381.5,0.817,1.5,20000|30000|30000|80000|220000|450000|750000
444013146,166609473721,375.2,0.8356,1.5,20000|40000|40000|80000|220000|450000|750000
479314629,169004824890,352.6,0.8476,1.5,20000|50000|50000|80000|220000|450000|750000
481929576,170177891765,353.1,0.8535,2.0,10000|20000|30000|80000|150000|300000|500000
489475697,171534346431,350.4,0.8603,2.0,20000|30000|30000|80000|150000|300000|500000
501135985,175381179151,350.0,0.8796,1.5,10000|20000|40000|110000|220000|450000|750000
510640280,177242329304,347.1,0.889,1.5,20000|30000|40000|110000|220000|450000|750000
517349737,177950849866,344.0,0.8926,1.5,20000|40000|40000|110000|220000|450000|750000
535975752,178411751519,332.9,0.8949,1.5,20000|50000|50000|110000|210000|450000|750000
539218079,180143531389,334.1,0.9036,1.5,20000|40000|50000|110000|220000|450000|750000
551431104,180237578832,326.9,0.9041,1.5,20000|50000|50000|110000|220000|440000|750000
552485769,180332995234,326.4,0.9045,1.5,20000|50000|50000|110000|220000|450000|740000
552651220,180346201035,326.3,0.9046,1.5,20000|50000|50000|110000|220000|450000|750000
552816360,180358988177,326.3,0.9047,1.5,20000|50000|50000|110000|220000|450000|760000
553867519,180449146842,325.8,0.9051,1.5,20000|50000|50000|110000|220000|460000|750000
565821507,181477388259,320.7,0.9103,1.5,20000|50000|60000|110000|220000|450000|750000
569275136,182096817898,319.9,0.9134,1.5,20000|50000|50000|110000|230000|450000|750000
577891529,183119924178,316.9,0.9185,1.5,20000|50000|50000|120000|220000|450000|750000
609712834,185240939938,303.8,0.9292,1.5,10000|20000|60000|140000|220000|450000|750000
619217128,187102090091,302.2,0.9385,1.5,20000|30000|60000|140000|220000|450000|750000
625926586,187810610653,300.1,0.9421,1.5,20000|40000|60000|140000|220000|450000|750000
635552951,187839342329,295.6,0.9422,1.5,20000|40000|50000|150000|220000|450000|750000
639254857,187842975760,293.8,0.9422,1.5,10000|30000|60000|150000|220000|450000|750000
639359727,188013280298,294.1,0.9431,1.5,20000|50000|60000|140000|220000|450000|750000
640793664,188153386789,293.6,0.9438,1.5,20000|30000|60000|150000|220000|440000|750000
641848329,188248803190,293.3,0.9443,1.5,20000|30000|60000|150000|220000|450000|740000
642013780,188262008991,293.2,0.9443,1.5,20000|30000|60000|150000|220000|450000|750000
642178919,188274796133,293.2,0.9444,1.5,20000|30000|60000|150000|220000|450000|760000
643230079,188364954798,292.8,0.9449,1.5,20000|30000|60000|150000|220000|460000|750000
647503122,188861907350,291.7,0.9474,1.5,20000|40000|60000|150000|220000|440000|750000
648557787,188957323752,291.4,0.9479,1.5,20000|40000|60000|150000|220000|450000|740000
648723238,188970529553,291.3,0.9479,1.5,20000|40000|60000|150000|220000|450000|750000
648888377,188983316695,291.2,0.948,1.5,20000|40000|60000|150000|220000|450000|760000
649939536,189073475360,290.9,0.9484,1.5,20000|40000|60000|150000|220000|460000|750000
658637696,190012625854,288.5,0.9531,1.5,20000|30000|60000|150000|230000|450000|750000
665347154,190721146416,286.6,0.9567,1.5,20000|40000|60000|150000|230000|450000|750000
678780295,190923816062,281.3,0.9577,1.5,20000|50000|60000|150000|230000|450000|750000
749791564,190972394692,254.7,0.958,1.5,20000|30000|80000|190000|220000|450000|750000
756501022,191680915253,253.4,0.9615,1.5,20000|40000|80000|190000|220000|450000|750000
769934163,191883584899,249.2,0.9625,1.5,20000|50000|80000|190000|220000|450000|750000
776494259,192257449912,247.6,0.9643,2.0,10000|20000|40000|110000|220000|450000|750000
780049650,196798800285,252.3,0.9871,1.5,10000|20000|60000|150000|300000|600000|1000000
789553944,198659950438,251.6,0.9964,1.5,20000|30000|60000|150000|300000|600000|1000000
796263402,199368471000,250.4,1.0,1.5,20000|40000|60000|150000|300000|600000|1000000
809696543,199571140646,246.5,1.001,1.5,20000|50000|60000|150000|300000|600000|1000000
897331728,201370336139,224.4,1.01,1.5,20000|30000|80000|190000|300000|600000|1000000
904041186,202078856700,223.5,1.0136,1.5,20000|40000|80000|190000|300000|600000|1000000
917474327,202281526346,220.5,1.0146,1.5,20000|50000|80000|190000|300000|600000|1000000
939010743,202356595348,215.5,1.015,1.5,20000|50000|60000|150000|380000|750000|1250000
1026645929,204155790841,198.9,1.024,1.5,20000|30000|80000|190000|380000|750000|1250000
1033355386,204864311403,198.3,1.0276,1.5,20000|40000|80000|190000|380000|750000|1250000
1046788527,205066981049,195.9,1.0286,1.5,20000|50000|80000|190000|380000|750000|1250000
1126341364,205927253572,182.8,1.0329,2.0,20000|30000|60000|150000|300000|600000|1000000
1131103073,206387814260,182.5,1.0352,2.0,20000|40000|60000|150000|300000|600000|1000000
1140636589,206519555915,181.1,1.0359,2.0,20000|50000|60000|150000|300000|600000|1000000
1209704198,207131404782,171.2,1.0389,2.0,20000|30000|80000|190000|300000|600000|1000000
1214465907,207591965469,170.9,1.0413,2.0,20000|40000|80000|190000|300000|600000|1000000
1223999423,207723707124,169.7,1.0419,2.0,20000|50000|80000|190000|300000|600000|1000000
1356407714,207856500229,153.2,1.0426,2.0,20000|30000|60000|150000|380000|750000|1250000
1361169424,208317060917,153.0,1.0449,2.0,20000|40000|60000|150000|380000|750000|1250000
1370702939,208448802572,152.1,1.0455,2.0,20000|50000|60000|150000|380000|750000|1250000
1439770548,209060651439,145.2,1.0486,2.0,20000|30000|80000|190000|380000|750000|1250000
1444532258,209521212126,145.0,1.0509,2.0,20000|40000|80000|190000|380000|750000|1250000
1454065773,209652953782,144.2,1.0516,2.0,20000|50000|80000|190000|380000|750000|1250000
