구조,예산_평균,예산_표준편차,예산_worst(최대),예산_best(최소),예산_흥행평균,예산_비흥행평균,유치이전금액_평균,리워드지급_평균,신청자수_평균,수령자수_평균,비용률_%,효율_배,CPA,평균이전금액,수령자당평균리워드,매력도지수_배
현행,796263402,71098563,908730256,697461026,864591658,727935145,199368471000,626586333,4489,4018,0.3994,250.38,198167,44412669,155940,1.0
배수제거,431763026,39683810,500013246,377132088,469792458,393733593,160289647595,346365986,3787,3316,0.2694,371.24,130189,42322939,104439,0.8039
배수2.0배(단위정합),1131103073,103111845,1308397921,989846560,1230191374,1032014773,206387814260,886436105,4619,4148,0.548,182.47,272657,44679335,213679,1.0352
균등하향80%,595301294,53171953,679431026,521441493,646429972,544172616,185872661543,468359808,4224,3753,0.3203,312.23,158634,44008688,124807,0.9323
균등하향70%,461333534,41446650,526548174,403585076,501070380,421596689,171094499317,369286520,3888,3417,0.2696,370.87,135017,44008931,108078,0.8582
상위축소,505840544,44867349,576585652,441908399,549204331,462476757,175545921857,400056504,4128,3657,0.2882,347.04,138305,42522651,109382,0.8805
하위강화·배수제거,484540941,41914323,555919750,426238244,525155495,443926387,164507373239,379394579,3991,3520,0.2945,339.51,137659,41222388,107787,0.8252
